f_star,lenses_below_threshold,percent_below_threshold
0.01,6,0.6578947368421052
0.02,6,0.6578947368421052
0.03,42,4.605263157894736
0.04,123,13.486842105263158
0.05,180,19.736842105263158
0.060000000000000005,282,30.92105263157895
0.06999999999999999,414,45.39473684210527
0.08,468,51.31578947368421
0.09,501,54.93421052631579
0.09999999999999999,561,61.51315789473685
0.11,600,65.78947368421053
0.12,609,66.77631578947368
0.13,633,69.4078947368421
0.14,663,72.69736842105263
0.15000000000000002,678,74.3421052631579
0.16,687,75.32894736842105
0.17,714,78.28947368421053
0.18000000000000002,726,79.60526315789474
0.19,735,80.5921052631579
0.2,738,80.92105263157895
